"video videre vidi visus"	"videō vidēre vidī vīsus"	"to see"	"to see; (passive) be seen, seem"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#video"	"30"
"dico dicere dixi dictus"	"dīcō dīcere dīxī dictus"	"to say, speak"	"to say, speak, tell"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#dico"	"31"
"de"	"dē"	"down from, about, concerning"	"down from, about, concerning; starting at (a point in time)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#dē"	"32"
"neque/nec"	"neque/nec"	"and not"	"and not"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#neque/nec"	"33"
"do dare dedi datus"	"dō dare dedī datus"	"to give"	"to give; dedicate; sell; pay; grant/bestow/impart/offer/lend; devote; allow; make; surrender/give over; send to die; ascribe/attribute; give birth/produce; utter"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#do"	"34"
"habeo habere habui habitus"	"habeō habēre habuī habitus"	"to have, hold"	"to have, hold; consider"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#habeo"	"35"
"per"	"per"	"through"	"through (+ acc.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#per"	"36"
"aut; aut…aut"	"aut; aut…aut"	"or, either...or"	"or, either…or"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#aut;"	"37"
"multus –a –um"	"multus –a –um"	"much, many"	"much, many"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#multus"	"38"
"iam"	"iam"	"now; already"	"now, already, by/even now; besides; [non ~ => no longer; ~ pridem => long ago];"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#iam"	"39"
"ne"	"nē"	"not; in order that…not; that…not; that"	"(introduces negative purpose clause) in order that…not; (introduces negative indirect command) that…not; (introduces positive fear clause) that"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#nē"	"40"
"ac"	"ac"	"and in addition"	"and in addition, or and besides; and, as well, and indeed, and; even; in comparison: as, than"	"1.5"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#ac"	"41"
"venio venire veni ventum"	"veniō venīre vēnī ventum"	"to come"	"to come"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#venio"	"42"
"tum or tunc"	"tum or tunc"	"then, at that time"	"then, at that time; then, thereupon, afterwards (> tum–ce)"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#tum"	"43"
"meus –a –um"	"meus –a –um"	"my, mine"	"my, mine"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#meus"	"44"
"quam"	"quam"	"than; as, how"	"than; as, how; (+ superlative) as…as possible "	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#quam"	"45"
"deus dei m."	"deus deī m."	"god"	"god"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#deus"	"46"
"alius alia aliud"	"alius alia aliud"	"other, another"	"other, another"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#alius"	"47"
"etiam"	"etiam"	"also"	"also, even; still"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#etiam"	"48"
"bellum belli n."	"bellum bellī n."	"war"	"war"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#bellum"	"49"
"locus loci m. or loca locorum n. pl."	"locus locī m. or loca locōrum n. pl."	"place, region"	"place, region, part"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#locus"	"50"
"fero ferre tuli latus"	"ferō ferre tulī lātus"	"to bear, carry, report"	"to bring, bear, carry; endure; report (feritur it is said; ferunt they say)"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fero"	"51"
"homo hominis m."	"homō hominis m."	"human being, man"	"human being, man; in pl., people"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#homo"	"52"
"dies diei m. or f."	"diēs diēī m. or f."	"day"	"day"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#dies"	"53"
"tuus –a –um"	"tuus –a –um"	"your"	"your, yours"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#tuus"	"54"
"pars partis f."	"pars partis f."	"part, portion"	"part; portion, share"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#pars"	"55"
"nec"	"nec"	"nor; and not"	"nor; and not, not, neither, not even"	"1.7"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#nec"	"55"
"hostis hostis m."	"hostis hostis m."	"(public) enemy"	"(public) enemy"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#hostis"	"57"
"unus –a –um"	"ūnus –a –um"	"1"	"1, alone"	"1.1"	"1"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#unus"	"58"
"tamen"	"tamen"	"nevertheless"	"nevertheless"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#tamen"	"59"
"quod"	"quod"	"because"	"because, the fact that"	"2.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#quod"	"59"
"manus manus f."	"manus manūs f."	"hand; band of men"	"hand; band, troop; in manibus: in hands, i.e. published"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#manus"	"61"
"terra terrae f."	"terra terrae f."	"land"	"land, earth"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#terra"	"62"
"tempus temporis n."	"tempus temporis n."	"time"	"time"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#tempus"	"64"
"animus animi m."	"animus animī m."	"spirit, mind"	"(rational) soul, mind; spirit; pl., strong feelings"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#animus"	"65"
"volo velle volui"	"volō velle voluī"	"to wish"	"to be willing, want, wish"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#volo"	"65"
"enim"	"enim"	"in fact, for"	"in fact, indeed; for"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#enim"	"67"
"arma armorum n."	"arma armōrum n."	"arms, weapons"	"arms, weapons"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#arma"	"68"
"vir viri m."	"vir virī m."	"man"	"man; husband"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#vir"	"69"
"tantus –a –um"	"tantus –a –um"	"so much"	"so much, so great, of such size; [tantus ... quantus => as much ... as]"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#tantus"	"70"
"rex regis m."	"rēx rēgis m."	"king"	"king"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#rex"	"71"
"inter"	"inter"	"between, among; during"	"between, among; during (+ acc.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#inter"	"71"
"noster nostra nostrum"	"noster nostra nostrum"	"our, ours"	"our, ours"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#noster"	"73"
"urbs urbis f."	"urbs urbis f."	"city"	"city"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#urbs"	"74"
"mitto mittere misi missus"	"mittō mittere mīsī missus"	"to send; release, let go"	"to send; release, let go"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#mitto"	"75"
"ubi"	"ubī"	"where, when"	"where, when; (adv. of place and time; relat.), where; (indefinite), wheresoever; (interrog.), where; (of time), when; whenever; as soon as; in comparison"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ubī"	"76"
"nam"	"nam"	"for"	"for"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#nam"	"77"
"idem eadem idem"	"īdem eadem idem"	"same"	"same"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#idem"	"78"
"causa causae f."	"causa causae f."	"cause, reason, lawsuit"	"reason, cause; case; lawsuit"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#causa"	"80"
"nullus –a –um"	"nūllus –a –um"	"not any, no"	"not any, no"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#nullus"	"81"
"pater patris m."	"pater patris m."	"father"	"father"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#pater"	"82"
"primus –a –um"	"prīmus –a –um"	"first"	"first, foremost, best, chief, principal; nearest, next; [in primus = especially]"	"1.6"	"1"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#primus"	"83"
"ago agere egi actus"	"agō agere ēgī āctus"	"to drive, do, act, concern oneself with"	"to drive; do; spend, conduct; concern (oneself with a thing); make a proposal (about)"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ago"	"84"
"nos nostrum/nostri"	"nōs nostrum/nostrī"	"we; us"	"we; us"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nos"	"85"
"nunc"	"nunc"	"now"	"now"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#nunc"	"86"
"sic"	"sīc"	"thus"	"thus, so, in this way, in such a way"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sīc"	"87"
"at or ast"	"at or ast"	"but"	"but, but on the other hand; on the contrary; while, whereas; but yet; at least"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#at"	"88"
"totus –a –um"	"tōtus –a –um"	"whole"	"whole"	"1.4"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#totus"	"89"
"nihil or nil n."	"nihil or nīl n."	"nothing"	"nothing"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nihil"	"90"
"ita"	"ita"	"thus, so"	"in this manner, thus, so; nōn ita (with adjs. etc.) ‘not so much’"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ita"	"91"
"peto petere petii/petivi petitus"	"petō petere petiī/petīvī petītus"	"to seek, go towards"	"to ask for, seek; attack; make for, go towards"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#peto"	"92"
"autem"	"autem"	"however; moreover"	"however; moreover"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#autem"	"93"
"populus populi m."	"populus populī m."	"people"	"(the) people; populace"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#populus"	"94"
"corpus corporis n."	"corpus corporis n."	"body"	"body"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#corpus"	"95"
"castra castrorum n. pl."	"castra castrōrum n. pl."	"camp"	"(military) camp"	"1.5"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#castra"	"96"
"bonus –a –um"	"bonus –a –um"	"good"	"good"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#bonus"	"97"
"iubeo iubere iussi iussus"	"iubeō iubēre iussī iussus"	"to order"	"to order/tell/command/direct; enjoin/command; decree/enact; request/ask/bid; pray"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#iubeo"	"98"
"nomen nominis n."	"nōmen nōminis n."	"name"	"name, account"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nomen"	"99"
"audio audire audivi auditus"	"audiō audīre audīvī audītus"	"to hear"	"to hear, listen (to)"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#audio"	"100"
"vis vis f."	"vīs vis f."	"force"	"force, power; violence; in pl., (physical) strength"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#vis"	"100"
"ante"	"ante"	"before, in front of (adv. and prep. +acc.)"	"before, earlier, previously; in front of (+ acc.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#ante"	"102"
"pro"	"prō"	"on behalf of, for, instead of (+ abl.), in accordance with"	"in front of; on behalf of, for; in return for, instead of, in accordance with (+ abl.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#prō"	"103"
"domus domi f."	"domus domī f."	"house, home"	"house, home"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#domus"	"104"
"dum"	"dum"	"while, until, provided that"	"while, as long as, until; provided that"	"1.1"	"1"	"Conjunction"	"Logeion"	"http://logeion.uchicago.edu/index.html#dum"	"105"
"virtus virtutis f."	"virtūs virtūtis f."	"manliness"	"manliness, courage; excellence, virtue"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#virtus"	"106"
"accipio accipere accepi acceptus"	"accipiō accipere accēpī acceptus"	"to receive"	"to receive; accept; hear (of), learn (of)"	"1.4"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accipio"	"107"
"annus anni m."	"annus annī m."	"year"	"year"	"1.5"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#annus"	"107"
"nox noctis f."	"nox noctis f."	"night"	"night"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#nox"	"109"
"consilium consilii n."	"cōnsilium cōnsiliī n."	"plan; council"	"deliberation; plan, advice; judgment"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#consilium"	"110"
"vita vitae f."	"vīta vītae f."	"life"	"life"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#vita"	"111"
"iste ista istud"	"iste ista istud"	"that"	"that (of yours); those (of yours)"	"1.1"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#iste"	"112"
"mors mortis f."	"mors mortis f."	"death"	"death"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#mors"	"113"
"superus –a –um"	"superus –a –um"	"above"	"above, high; higher, upper, of this world; greatest, last, highest"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#superus"	"113"
"quis quid after si nisi ne or num"	"quis quid after si nisi ne or num"	"anyone/thing, someone/thing"	"anyone, anything, someone, something"	"2.7"	"1"	"Pronoun"	"Logeion"	"http://logeion.uchicago.edu/index.html#quis"	"113"
"post"	"post"	"after (adv. and prep. +acc.)"	"after(ward), later; behind (+ acc.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#post"	"116"
"civitas civitatis f."	"cīvitās cīvitātis f."	"citizenship"	"state, citizenry; citizenship"	"1.5"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#civitas"	"117"
"sine"	"sine"	"without (+abl.)"	"without (+ abl.)"	"1.1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#sine"	"118"
"duco ducere duxi ductus"	"dūcō dūcere dūxī ductus"	"to lead; consider"	"to lead; consider; lead off for punishment"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#duco"	"119"
"miles militis m."	"mīles mīlitis m."	"soldier"	"soldier"	"1.7"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#miles"	"120"
"filius filii m."	"fīlius fīliī m."	"son"	"son"	"1.5"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#filius"	"121"
"tam"	"tam"	"so"	"so"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#tam"	"122"
"teneo tenere tenui tentus"	"teneō tenēre tenuī tentus"	"to hold"	"to hold, grasp; keep possess; occupy"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#teneo"	"123"
"sub"	"sub"	"under"	"under; at the foot of; near; up to (+ abl.)"	"1.9"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#sub"	"123"
"capio capere cepi captus"	"capiō capere cēpī captus"	"to seize"	"to seize, take (up), capture; win"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#capio"	"125"
"eo ire ii/ivi itum"	"eō īre iī/īvī itum"	"to go"	"to go, walk; march, advance; pass; flow; pass (time); ride; sail"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#eo"	"126"
"amor amoris m."	"amor amōris m."	"love"	"love"	"1.1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#amor"	"127"
"alter altera alterum"	"alter altera alterum"	"other of two"	"the other (of two)"	"1.1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#alter"	"127"
"inquam inquis inquit inquiunt"	"inquam inquis inquit inquiunt"	"to say"	"to say; it is said, one says"	"1.3"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#inquam"	"129"
"relinquo relinquere reliqui relictus"	"relinquō relinquere relīquī relictus"	"to abandon"	"to leave (behind), abandon"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#relinquo"	"130"
"exercitus exercitus m."	"exercitus exercitūs m."	"army"	"army"	"1.5"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#exercitus"	"131"
"fio fieri factus sum"	"fiō fierī factus sum"	"to become"	"to happen, come about; result (from); take place, be held, occur, arise (event); be made/created/instituted/elected/appointed/given; be prepared/done; develop; be made/become; (facio PASS); [fiat => so be it, very well; it is being done]"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#fio"	"132"
"navis navis f."	"nāvis nāvis f."	"ship"	"ship"	"1.6"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#navis"	"133"
"sequor sequi secutus sum"	"sequor sequī secūtus sum"	"to follow, come next"	"to follow; come next, come later"	"1.1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#sequor"	"134"
"duo duae duo"	"duō duae duo"	"2"	"2"	"1.2"	"1"	"Number"	"Logeion"	"http://logeion.uchicago.edu/index.html#duo"	"134"
"quoque"	"quoque"	"also"	"also, too"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#quoque"	"136"
"quidem"	"quidem"	"moreover"	"moreover, certainly (emphasizing one statement with reference to another)"	"1.1"	"1"	"Adverb"	"Logeion"	"http://logeion.uchicago.edu/index.html#quidem"	"137"
"caelum caeli n."	"caelum caelī n."	"sky, heaven"	"sky, heaven"	"1.2"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#caelum"	"138"
